Time,TM,RSRP,RSSI,UE_TX_Power,RSRQ,NodeB_RX
17:51:12.070,1,-64,-57.8,-24.4,-6.3,-82.5
17:51:12.098,1,-78.2,-69.2,-20.2,-9,-93.5
17:51:12.178,1,-61,-54.7,-16.8,-6.3,-77.3
17:51:12.218,1,-69,-61.4,-18.8,-7.6,-89.7
17:51:12.318,1,-67.8,-58.2,-15.6,-9.5,-82.7
17:51:12.370,1,-66.8,-62.8,-14.4,-4,-91.9
17:51:12.440,1,-66,-60.9,-22.6,-5.1,-87.6
17:51:12.498,1,-64.3,-57.1,-19.2,-7.2,-84.7
17:51:12.618,1,-72.1,-64.5,-16.2,-7.6,-84.3
17:51:12.858,1,-67.4,-62.1,-14.8,-5.3,-84
17:51:13.040,1,-59.2,-52,-18.8,-7.2,-77.1
17:51:13.090,1,-63.4,-56.1,-15.3,-7.4,-77.6
17:51:13.160,1,-72.6,-67.9,-18.6,-4.6,-89.5
17:51:13.450,1,-68,-64.8,-18.4,-3.2,-89.3
17:51:13.520,1,-69.6,-65.3,-14,-4.2,-82.8
17:51:13.820,1,-74.1,-67.5,-15.2,-6.6,-87.2
17:51:14.170,1,-67.9,-65.1,-10.4,-2.8,-80.1
17:51:14.240,1,-63.4,-54.4,-15.8,-9,-80.6
17:51:14.540,1,-70.8,-67.8,-12,-3.1,-82.7
17:51:14.890,1,-74.8,-69.2,-8.2,-5.6,-88.9
17:51:14.960,1,-73.4,-69,-15.6,-4.4,-89.9
17:51:15.260,1,-69.5,-65.4,-10.6,-4.1,-89
17:51:15.560,1,-80,-70.5,-11,-9.5,-92.6
17:51:15.610,1,-74.6,-68,-16,-6.6,-91.8
17:51:15.990,1,-77.4,-70.4,-13.4,-7,-95.2
17:51:16.280,1,-80.7,-76.2,-9.6,-4.5,-95.8
17:51:16.330,1,-79.9,-76.2,-10.3,-3.7,-93
17:51:16.410,1,-82.4,-72.5,-14,-9.9,-96
17:51:16.710,1,-81.1,-71.2,-10.4,-10,-91.3
17:51:17.510,1,-79.2,-74.7,-6.4,-4.5,-94.8
17:51:17.770,1,-76.7,-67.2,-11.3,-9.5,-91
17:51:17.980,1,-77.8,-73.1,-10.8,-4.7,-92.1
17:51:18.140,1,-76,-69.4,-7.6,-6.5,-93.2
17:51:18.230,1,-80.8,-70.8,-10.3,-10.1,-96.3
17:51:18.860,1,-85,-77.8,-8.8,-7.2,-96.3
17:51:19.210,1,-76.4,-70.6,-6.3,-5.8,-87.7
17:51:19.580,1,-80.5,-76.1,-6,-4.5,-98.9
17:51:20.010,1,-81.4,-75.9,-11.4,-5.5,-99.3
17:51:20.240,1,-76.7,-73.1,-10.8,-3.6,-94.9
17:51:20.340,1,-80.2,-74.4,-9,-5.8,-98.4
17:51:20.390,1,-82,-77.5,-4.4,-4.5,-94.2
17:51:20.730,1,-78.5,-67.3,-17.4,-11.2,-92.6
17:51:21.020,1,-82.3,-72,-5.8,-10.3,-98.3
17:51:21.110,1,-82.2,-77.1,-6.2,-5.1,-93.1
17:51:21.810,1,-85.5,-75.2,-6.4,-10.2,-104.1
17:51:22.150,1,-82.2,-77.2,-6.4,-5,-98.4
17:51:22.218,1,-84.2,-78.6,0.2,-5.6,-90.8
17:51:22.760,1,-82.4,-72.7,-3,-9.8,-93.4
17:51:23.170,1,-83.9,-76.6,-0.3,-7.3,-97.3
17:51:23.530,1,-83.7,-75.8,-0.4,-8,-99.1
17:51:24.100,1,-87.5,-80.3,3.8,-7.2,-100.5
17:51:24.320,1,-90.7,-77.6,2.2,-13.2,-99.4
17:51:24.458,1,-87.6,-78.7,0.4,-8.9,-97.1
17:51:24.498,1,-89.9,-78.2,-0.8,-11.7,-97.9
17:51:24.658,1,-89.3,-78.7,3.4,-10.6,-100.3
17:51:24.770,2,-85,-73.2,-1.7,-11.7,-94.8
17:51:25.040,2,-88.2,-77,6,-11.2,-95.3
17:51:25.380,2,-90.2,-78,5,-12.2,-99.3
17:51:25.430,2,-91.4,-81.5,4.6,-9.9,-100.8
17:51:25.580,2,-90.8,-76.8,2.8,-13.9,-96
17:51:25.640,2,-89.1,-77.1,0.4,-12,-97.2
17:51:25.690,2,-96.2,-80.2,0.8,-15.9,-97.2
17:51:25.770,2,-90.5,-77.5,-1,-13,-96
17:51:26.010,2,-90.9,-79,7.7,-11.9,-102.9
17:51:26.020,2,-90.8,-78.9,3.8,-11.8,-97.8
17:51:26.100,2,-92,-79.7,3.4,-12.4,-98.4
