RSRP,RSSI,UE_TX_Power,NodeB_RX,Predicted NB_RX
-86.6,-78.3,-0.4,-101.2,-98.89212940821159
-88.8,-78.2,3.0,-103.7,-99.12233833596166
-96.0,-83.1,6.0,-102.5,-104.38127690705902
-89.3,-78.4,5.8,-103.2,-98.88815353624842
-95.0,-81.7,7.0,-100.2,-102.97066974923351
-97.0,-81.3,9.2,-104.5,-103.19000884619024
-97.6,-81.2,15.7,-103.5,-102.08951312367604
-95.1,-81.2,3.2,-108.6,-103.50655996244062
-88.7,-77.1,11.6,-94.6,-96.74122587438947
-99.2,-83.0,4.9,-103.0,-105.95974268103292
-94.4,-82.8,10.6,-97.8,-102.58364094322233
-98.4,-79.2,10.4,-102.5,-102.4138099459165
-95.5,-76.8,17.4,-101.3,-98.40705818857433
-95.9,-83.8,9.9,-105.4,-103.93492864255957
-95.1,-80.6,12.0,-101.0,-101.40349329592398
-90.9,-77.6,11.4,-100.1,-98.02624957128837
-92.2,-75.2,9.7,-95.7,-97.62599015401864
-108.7,-84.6,7.5,-107.6,-110.50382176602513
-84.1,-75.1,1.9,-100.9,-95.57047985287822
-103.3,-80.8,3.9,-109.2,-106.76319725781
-99.8,-80.8,7.5,-100.9,-104.4935791716072
-93.5,-73.7,9.9,-95.7,-97.3363684960904
-97.8,-72.3,3.8,-104.4,-99.69494199230674
-86.7,-70.2,-12.2,-94.4,-96.87209056455552
-89.3,-74.2,-1.1,-95.0,-97.9753897494194
-98.5,-75.6,-6.2,-99.9,-103.82965261672945
-83.4,-67.2,-11.8,-96.3,-93.69026413965453
-90.0,-72.8,-9.6,-96.9,-99.22975500135327
-69.6,-64.4,-22.0,-90.1,-88.12324382666198
-67.1,-61.8,-23.3,-83.7,-85.85640904047744
-63.2,-58.2,-7.3,-77.3,-78.93605553763169
-78.0,-68.8,-13.9,-91.0,-92.60917653055418
-71.2,-63.7,-13.4,-92.7,-86.71142947120289
-73.7,-64.5,-19.5,-84.5,-89.48270159072824
-70.5,-66.1,-20.9,-85.8,-89.23095786791667
-50.1,-46.8,-33.4,-62.6,-72.16592055578914
-55.0,-52.7,-25.2,-79.3,-75.91054412798081
-63.6,-54.8,-24.2,-82.2,-80.65440965284651
-73.3,-61.8,-23.0,-87.6,-88.53085081287817
-90.2,-72.1,-19.4,-105.0,-100.90957757367792
-68.2,-62.3,-16.2,-89.7,-85.18462098368124
-100.4,-88.0,6.6,-109.6,-108.88889985882916
-97.9,-85.4,14.8,-100.7,-104.70698949091498
-96.2,-85.6,3.0,-109.6,-106.4455187613384
-96.4,-82.0,5.8,-95.3,-103.99468708547552
-88.9,-80.5,6.8,-96.5,-99.66197703036825
-94.8,-83.0,5.0,-97.9,-103.99867455344537
-89.8,-73.4,7.5,-96.4,-96.02349771512608
